merchant,category,job,age,state,city,amt,is_fraud
"Kilback, Nitzsche and Leffle",travel,Architect,70,MO,Mound City,5.69,0
Christiansen-Gusikowski,misc_pos,Tax inspector,35,MO,Rocky Mount,51.2,0
Gulgowski LLC,home,Occupational psychologist,69,CA,Tomales,225.07,0
Hudson-Ratke,grocery_pos,Product/process development scientist,50,WY,Lagrange,121.8,0
Hermann-Gaylo,misc_pos,Water engineer,48,CO,Littleton,140.93,0
Kulas Group,health_fitness,Civil Service administrator,47,NM,Albuquerque,7.96,0
"Moen, Reinger and Murphy",grocery_pos,Special educational needs teacher,45,WA,Orient,132.14,0
"Kovacek, Dibbert and Ondrick",grocery_pos,Health service manager,96,CA,June Lake,117.05,0
"O'Reilly, Mohr and Purdy",home,Barrister,87,OR,Cascade Locks,43.71,0
Rau and Sons,grocery_pos,"Scientist, physiological",59,OR,Eugene,108.73,0
Larkin Lt,kids_pets,Early years teacher,50,CA,Helm,46.03,0
Kerluke PLC,misc_net,"Administrator, education",84,AK,Wales,763.34,0
Kulas Group,health_fitness,Airline pilot,38,CA,Napa,91.79,0
"Rodriguez, Yost and Jenkins",misc_net,Metallurgist,48,NE,Carroll,86.37,0
Kuhic LLC,shopping_net,Historic buildings inspector/conservation officer,51,NM,Espanola,4.52,0
"Wuckert, Wintheiser and Friesen",home,Licensed conveyancer,23,NM,Ruidoso,19.11,0
Turner and Sons,shopping_pos,Telecommunications researcher,73,NE,Holstein,4.69,0
"Runte, Green and Em",health_fitness,"Surveyor, land/geomatics",35,NM,Red River,52.56,0
"Feil, Hilpert and Koss",food_dining,Electronics engineer,34,MO,Centerview,135.73,0
"Daugherty, Pouros and Beahan",shopping_pos,"Therapist, occupational",72,CA,Carlotta,41.5,0
Stoltenberg-Beatty,shopping_pos,Cytogeneticist,69,MO,Browning,3.19,0
Erdman-Kertzmann,gas_transport,"Nurse, children's",43,NE,North Loup,42.84,0
Romaguera Lt,health_fitness,Public librarian,49,WY,Jelm,117.57,0
Koelpin and Sons,misc_net,"Engineer, agricultural",43,MO,Kissee Mills,95.84,0
Murray Lt,grocery_net,Osteopath,39,WA,Issaquah,65.79,0
"Rohan, White and Aufderh",misc_net,Public relations account executive,84,CO,Meredith,3.21,0
"Eichmann, Hayes and Treutel",travel,Counselling psychologist,23,AZ,Phoenix,8.21,0
Kutch-Wilderman,home,Airline pilot,38,CA,Napa,34.54,0
"Medhurst, Labadie and Gottlieb",travel,Early years teacher,50,CA,Helm,595.39,0
Terry Lt,home,Public relations account executive,84,CO,Meredith,10.27,0
Abernathy and Sons,food_dining,Geoscientist,26,CA,San Jose,110.94,0
"Schuppe, Nolan and Hoege",shopping_pos,Marketing executive,31,CA,Parker Dam,145.15,0
Erdman-Schaden,personal_care,Occupational hygienist,63,MO,Saint Louis,37.08,0
Hirthe-Beie,health_fitness,"Geologist, engineering",66,AZ,Parks,8.21,0
Bernhard Inc,gas_transport,Counselling psychologist,23,AZ,Phoenix,54.96,0
Wolf Inc,grocery_pos,"Administrator, local government",50,WY,Alva,99.53,0
Schulist Lt,food_dining,Chartered public finance accountant,64,CA,San Diego,23.86,0
"Zboncak, Rowe and Murazik",shopping_net,Water engineer,48,CO,Littleton,546.99,0
Breitenberg-Hermiston,kids_pets,"Engineer, petroleum",86,OR,Scotts Mills,19.61,0
"Douglas, Schneider and Turne",shopping_pos,Music therapist,39,WY,Rock Springs,2.64,0
"Streich, Rolfson and Wilderman",kids_pets,"Therapist, art",35,NM,Moriarty,41.99,0
"Casper, Hand and Zul",grocery_pos,Musician,41,WA,Burbank,204.98,0
Cruickshank-Mills,entertainment,Licensed conveyancer,23,NM,Ruidoso,77.13,0
"Kuhic, Bins and Pfeffe",shopping_net,"Civil engineer, contracting",68,AZ,Humboldt,9.97,0
Bode-Rempel,kids_pets,Tourist information centre manager,48,MO,Meadville,48.07,0
Morissette PLC,shopping_pos,Aeronautical engineer,44,MO,Matthews,211.16,0
Schuppe LLC,entertainment,Freight forwarder,47,WY,Fort Washakie,72.3,0
Kunde-Sanfo,misc_net,"Therapist, horticultural",47,CA,Huntington Beach,5.43,0
"Becker, Harris and Harvey",personal_care,Contractor,42,AZ,Phoenix,17.51,0
Bins-Tillman,entertainment,Land/geomatics surveyor,38,MO,Arnold,3.48,0
"Connelly, Reichert and Fritsch",gas_transport,Cytogeneticist,69,MO,Browning,56.9,0
"Heathcote, Yost and Kertzmann",shopping_net,Contractor,42,AZ,Phoenix,10.97,0
Bradtke PLC,grocery_pos,Armed forces training and education officer,64,CA,Port Costa,119.1,0
Beier LLC,entertainment,Freight forwarder,47,WY,Fort Washakie,77.56,0
Bernhard Inc,gas_transport,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,74.53,0
Monahan-Mo,personal_care,"Engineer, agricultural",43,MO,Kissee Mills,79.39,0
