merchant_0,merchant_1,merchant_2,merchant_3,merchant_4,merchant_5,merchant_6,merchant_7,merchant_8,merchant_9,category_0,category_1,category_2,category_3,job_0,job_1,job_2,job_3,job_4,job_5,job_6,job_7,age,state_0,state_1,state_2,state_3,city_0,city_1,city_2,city_3,city_4,city_5,city_6,city_7,amount,is_fraud
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,70,0,0,0,1,0,0,0,0,0,0,0,1,5.69,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,35,0,0,0,1,0,0,0,0,0,0,1,0,51.2,0
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,69,0,0,1,0,0,0,0,0,0,0,1,1,225.07,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50,0,0,1,1,0,0,0,0,0,1,0,0,121.8,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,48,0,1,0,0,0,0,0,0,0,1,0,1,140.93,0
0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,47,0,1,0,1,0,0,0,0,0,1,1,0,7.96,0
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,45,0,1,1,0,0,0,0,0,0,1,1,1,132.14,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,96,0,0,1,0,0,0,0,0,1,0,0,0,117.05,0
0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,87,0,1,1,1,0,0,0,0,1,0,0,1,43.71,0
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,59,0,1,1,1,0,0,0,0,1,0,1,0,108.73,0
0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,50,0,0,1,0,0,0,0,0,1,0,1,1,46.03,0
0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,84,1,0,0,0,0,0,0,0,1,1,0,0,763.34,0
0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,38,0,0,1,0,0,0,0,0,1,1,0,1,91.79,0
0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,48,1,0,0,1,0,0,0,0,1,1,1,0,86.37,0
0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,51,0,1,0,1,0,0,0,0,1,1,1,1,4.52,0
0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,23,0,1,0,1,0,0,0,1,0,0,0,0,19.11,0
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,73,1,0,0,1,0,0,0,1,0,0,0,1,4.69,0
0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,35,0,1,0,1,0,0,0,1,0,0,1,0,52.56,0
0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,34,0,0,0,1,0,0,0,1,0,0,1,1,135.73,0
0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,72,0,0,1,0,0,0,0,1,0,1,0,0,41.5,0
0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,69,0,0,0,1,0,0,0,1,0,1,0,1,3.19,0
0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,43,1,0,0,1,0,0,0,1,0,1,1,0,42.84,0
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,49,0,0,1,1,0,0,0,1,0,1,1,1,117.57,0
0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,43,0,0,0,1,0,0,0,1,1,0,0,0,95.84,0
0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,39,0,1,1,0,0,0,0,1,1,0,0,1,65.79,0
0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,84,0,1,0,0,0,0,0,1,1,0,1,0,3.21,0
0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,23,1,0,1,0,0,0,0,1,1,0,1,1,8.21,0
0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,38,0,0,1,0,0,0,0,0,1,1,0,1,34.54,0
0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,50,0,0,1,0,0,0,0,0,1,0,1,1,595.39,0
0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,84,0,1,0,0,0,0,0,1,1,0,1,0,10.27,0
0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,26,0,0,1,0,0,0,0,1,1,1,0,0,110.94,0
0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,31,0,0,1,0,0,0,0,1,1,1,0,1,145.15,0
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,63,0,0,0,1,0,0,0,1,1,1,1,0,37.08,0
0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,66,1,0,1,0,0,0,0,1,1,1,1,1,8.21,0
0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,23,1,0,1,0,0,0,0,1,1,0,1,1,54.96,0
0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,50,0,0,1,1,0,0,1,0,0,0,0,0,99.53,0
0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,64,0,0,1,0,0,0,1,0,0,0,0,1,23.86,0
0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,48,0,1,0,0,0,0,0,0,0,1,0,1,546.99,0
0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,86,0,1,1,1,0,0,1,0,0,0,1,0,19.61,0
0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,39,0,0,1,1,0,0,1,0,0,0,1,1,2.64,0
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,35,0,1,0,1,0,0,1,0,0,1,0,0,41.99,0
0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,41,0,1,1,0,0,0,1,0,0,1,0,1,204.98,0
0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,23,0,1,0,1,0,0,0,1,0,0,0,0,77.13,0
0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,68,1,0,1,0,0,0,1,0,0,1,1,0,9.97,0
0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,48,0,0,0,1,0,0,1,0,0,1,1,1,48.07,0
0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,44,0,0,0,1,0,0,1,0,1,0,0,0,211.16,0
0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,47,0,0,1,1,0,0,1,0,1,0,0,1,72.3,0
0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,47,0,0,1,0,0,0,1,0,1,0,1,0,5.43,0
0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,42,1,0,1,0,0,0,0,1,1,0,1,1,17.51,0
0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,38,0,0,0,1,0,0,1,0,1,0,1,1,3.48,0
0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,69,0,0,0,1,0,0,0,1,0,1,0,1,56.9,0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,42,1,0,1,0,0,0,0,1,1,0,1,1,10.97,0
0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,64,0,0,1,0,0,0,1,0,1,1,0,0,119.1,0
0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,47,0,0,1,1,0,0,1,0,1,0,0,1,77.56,0
0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,56,0,0,1,0,0,0,1,0,1,1,0,1,74.53,0
0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,43,0,0,0,1,0,0,0,1,1,0,0,0,79.39,0
0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,36,0,1,1,1,0,0,1,0,1,1,1,0,137.32,0
0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,31,0,1,0,0,0,0,1,0,1,1,1,1,60.8,0
0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,43,1,0,0,1,0,0,0,1,0,1,1,0,5.7,0
0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,51,0,1,0,1,0,0,0,0,1,1,1,1,43.67,0
0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,35,0,0,0,1,0,0,0,0,0,0,1,0,21.6,0
0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,62,0,1,1,1,0,0,1,1,0,0,0,0,52.48,0
0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,28,0,0,1,0,0,0,1,1,0,0,0,1,30.11,0
0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,49,0,1,1,0,0,0,1,1,0,0,1,0,1.78,0
0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,67,0,1,1,0,0,0,1,1,0,0,1,1,9.91,0
0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,42,1,0,1,0,0,0,0,1,1,0,1,1,61.99,0
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,56,0,1,0,1,0,0,1,1,0,1,0,0,31.05,0
0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,30,0,0,0,1,0,0,1,1,0,1,0,1,90.55,0
0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,52,1,0,1,1,0,0,1,1,0,1,1,0,48.43,0
0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,83,1,0,0,1,0,0,1,1,0,1,1,1,2.64,0
0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,88,1,0,0,1,0,0,1,1,1,0,0,0,25.18,0
0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,42,0,0,1,1,0,0,1,1,1,0,0,1,58.15,0
0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,50,0,0,1,1,0,0,1,0,0,0,0,0,70.09,0
0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,38,0,1,1,0,0,0,1,1,1,0,1,0,119.68,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,52,0,0,1,0,0,0,1,1,1,0,1,1,3.14,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,38,0,0,1,0,0,0,0,0,1,1,0,1,1.35,0
0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,45,0,1,1,0,0,0,0,0,0,1,1,1,25.87,0
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,68,0,0,1,0,0,0,1,1,1,1,0,0,1.52,0
0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,84,0,1,0,0,0,0,0,1,1,0,1,0,3.53,0
0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,42,1,0,1,0,0,0,0,1,1,0,1,1,218.79,0
0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,88,1,0,0,1,0,0,1,1,1,0,0,0,103.6,0
