merchant,category,job,age,state,city,amount
"Kilback, Nitzsche and Leffle",travel,Architect,70,MO,Mound City,5.69
Christiansen-Gusikowski,misc_pos,Tax inspector,35,MO,Rocky Mount,51.2
Gulgowski LLC,home,Occupational psychologist,69,CA,Tomales,225.07
Hudson-Ratke,grocery_pos,Product/process development scientist,50,WY,Lagrange,121.8
Hermann-Gaylo,misc_pos,Water engineer,48,CO,Littleton,140.93
Kulas Group,health_fitness,Civil Service administrator,47,NM,Albuquerque,7.96
"Moen, Reinger and Murphy",grocery_pos,Special educational needs teacher,45,WA,Orient,132.14
"Kovacek, Dibbert and Ondrick",grocery_pos,Health service manager,96,CA,June Lake,117.05
"O'Reilly, Mohr and Purdy",home,Barrister,87,OR,Cascade Locks,43.71
Rau and Sons,grocery_pos,"Scientist, physiological",59,OR,Eugene,108.73
Larkin Lt,kids_pets,Early years teacher,50,CA,Helm,46.03
Kerluke PLC,misc_net,"Administrator, education",84,AK,Wales,763.34
Kulas Group,health_fitness,Airline pilot,38,CA,Napa,91.79
"Rodriguez, Yost and Jenkins",misc_net,Metallurgist,48,NE,Carroll,86.37
Kuhic LLC,shopping_net,Historic buildings inspector/conservation officer,51,NM,Espanola,4.52
"Wuckert, Wintheiser and Friesen",home,Licensed conveyancer,23,NM,Ruidoso,19.11
Turner and Sons,shopping_pos,Telecommunications researcher,73,NE,Holstein,4.69
"Runte, Green and Em",health_fitness,"Surveyor, land/geomatics",35,NM,Red River,52.56
"Feil, Hilpert and Koss",food_dining,Electronics engineer,34,MO,Centerview,135.73
"Daugherty, Pouros and Beahan",shopping_pos,"Therapist, occupational",72,CA,Carlotta,41.5
Stoltenberg-Beatty,shopping_pos,Cytogeneticist,69,MO,Browning,3.19
Erdman-Kertzmann,gas_transport,"Nurse, children's",43,NE,North Loup,42.84
Romaguera Lt,health_fitness,Public librarian,49,WY,Jelm,117.57
Koelpin and Sons,misc_net,"Engineer, agricultural",43,MO,Kissee Mills,95.84
Murray Lt,grocery_net,Osteopath,39,WA,Issaquah,65.79
"Rohan, White and Aufderh",misc_net,Public relations account executive,84,CO,Meredith,3.21
"Eichmann, Hayes and Treutel",travel,Counselling psychologist,23,AZ,Phoenix,8.21
Kutch-Wilderman,home,Airline pilot,38,CA,Napa,34.54
"Medhurst, Labadie and Gottlieb",travel,Early years teacher,50,CA,Helm,595.39
Terry Lt,home,Public relations account executive,84,CO,Meredith,10.27
Abernathy and Sons,food_dining,Geoscientist,26,CA,San Jose,110.94
"Schuppe, Nolan and Hoege",shopping_pos,Marketing executive,31,CA,Parker Dam,145.15
